file,workload,family,quality_metric,native_runtime_sec,native_selected_model,native_best_quality_model,native_model_count,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,path,status
practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_chem_h2_l1_grid17_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00015885700122453272,exact_diagonalization_numpy,,0,7.377327777998289,46440.054395657244,-1.85727503020238,-1.8456249981377126,0.011650032064667304,1304,326,652,326,strongnative_2node_large128c0c7_fix_20260704022146_c0,7.392134418012574,17,72,4,3,synthetic,"0,1,2",,1,17,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_chem_h2_l1_grid17_r0_seed17.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_chem_h2_l1_grid25_r2_seed2023.json,chemistry,chemistry_vqe,absolute_energy_error,0.00014949802425689995,exact_diagonalization_numpy,,0,7.444493725983193,49796.602751019964,-1.85727503020238,-1.8566776536800178,0.0005973765223621363,2712,678,1356,678,strongnative_2node_large128c0c7_fix_20260704022146_c0,7.45602363802027,2023,72,4,3,synthetic,"0,1,2",,1,25,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_chem_h2_l1_grid25_r2_seed2023.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed17.json,ml,multiclass_ml,test_accuracy,0.0003697840147651732,linear_ridge_numpy,linear_ridge_numpy,6,14.871113852015696,40215.67525426813,1.0,0.6875,0.3125,1024,384,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c0,15.13242934801383,17,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed17.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed23.json,ml,multiclass_ml,test_accuracy,0.00013475000741891563,nearest_centroid_numpy,nearest_centroid_numpy,6,8.124479219026398,60292.97789772083,1.0,0.75,0.25,1024,384,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c0,8.222895625018282,23,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed23.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed31.json,ml,multiclass_ml,test_accuracy,0.0001412619894836098,linear_ridge_numpy,linear_ridge_numpy,6,7.182241219008574,50843.40978959459,1.0,0.8125,0.1875,1024,384,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c0,7.278389604995027,31,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed31.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed43.json,ml,multiclass_ml,test_accuracy,0.0001426759990863502,linear_ridge_numpy,linear_ridge_numpy,6,7.581794923986308,53139.94625962046,1.0,0.84375,0.15625,1024,384,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c0,7.687040746997809,43,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r0_seed43.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1017.json,ml,multiclass_ml,test_accuracy,0.000175989989656955,nearest_centroid_numpy,nearest_centroid_numpy,6,7.387153382005636,41974.84979915561,1.0,0.75,0.25,1024,384,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c0,7.482822083024075,1017,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1017.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1023.json,ml,multiclass_ml,test_accuracy,0.01156974898185581,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,7.249039535992779,626.5511505358536,1.0,0.8125,0.1875,1024,384,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c0,7.3473900530079845,1023,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1023.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1031.json,ml,multiclass_ml,test_accuracy,0.000831154000479728,knn_numpy,knn_numpy,6,7.477988555008778,8997.115517332059,1.0,0.78125,0.21875,1024,384,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c0,7.573034222994465,1031,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1031.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1043.json,ml,multiclass_ml,test_accuracy,0.011546524008736014,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,8.102584373002173,701.7336444172998,1.0,0.90625,0.09375,1024,384,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c0,8.19919985200977,1043,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r1_seed1043.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2017.json,ml,multiclass_ml,test_accuracy,0.00013945900718681514,linear_ridge_numpy,linear_ridge_numpy,6,8.256143406993942,59201.22029790631,1.0,0.78125,0.21875,1024,384,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c0,8.354416685993783,2017,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2017.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2023.json,ml,multiclass_ml,test_accuracy,0.0008218259899877012,knn_numpy,knn_numpy,6,7.347858349996386,8940.893132506491,1.0,0.6875,0.3125,1024,384,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c0,7.4432173630048055,2023,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2023.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2031.json,ml,multiclass_ml,test_accuracy,0.0008105150191113353,knn_numpy,knn_numpy,6,7.79229218501132,9614.000976261912,1.0,0.8125,0.1875,1024,384,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c0,7.90043773301295,2031,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2031.json,ok
practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2043.json,ml,multiclass_ml,test_accuracy,0.00014046099386177957,linear_ridge_numpy,linear_ridge_numpy,6,7.7020098350185435,54833.79850350265,1.0,0.875,0.125,1024,384,512,128,strongnative_2node_large128c0c7_fix_20260704022146_c0,7.803436241985764,2043,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_2node_large128c0c7_fix_20260704022146_c0_ml_digits_c0v1v2_128s_4q_d1_r2_seed2043.json,ok
