file,workload,family,quality_metric,native_runtime_sec,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,path,status
practical_55453128_chem_4q_grid13_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00014610300422646105,6.437852333998308,44063.79162484281,-1.705732892552902,-0.9019600519043551,0.8037728406485469,232,87,116,29,55453128,6.454666753008496,17,72,4,3,synthetic,"0,1,2",,1,13,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453128_chem_4q_grid13_seed17.json,ok
practical_55453128_chem_4q_grid13_seed23.json,chemistry,chemistry_vqe,absolute_energy_error,0.00014565099263563752,6.500665307015879,44631.79542674337,-1.705732892552902,-1.2281036714213251,0.4776292211315769,232,87,116,29,55453128,6.5109985639865045,23,72,4,3,synthetic,"0,1,2",,1,13,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453128_chem_4q_grid13_seed23.json,ok
practical_55453128_chem_4q_grid9_seed23.json,chemistry,chemistry_vqe,absolute_energy_error,0.00014562197611667216,7.058871882996755,48473.94652398615,-1.705732892552902,-1.2281036714213251,0.4776292211315769,168,63,84,21,55453128,7.0692850750056095,23,72,4,3,synthetic,"0,1,2",,1,9,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453128_chem_4q_grid9_seed23.json,ok
practical_55453128_chem_h2_grid17_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.0004710509965661913,84.96376350201899,180370.62679280422,-1.85727503020238,-1.8456249981377126,0.011650032064667304,1304,326,652,326,55453128,84.9841238759982,17,72,4,3,synthetic,"0,1,2",,1,17,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453128_chem_h2_grid17_seed17.json,ok
practical_55453128_chem_h2_grid17_seed23.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001359730085823685,12.178202312992653,89563.38055589506,-1.85727503020238,-1.8456249981377126,0.011650032064667304,1304,326,652,326,55453128,12.18778431499959,23,72,4,3,synthetic,"0,1,2",,1,17,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453128_chem_h2_grid17_seed23.json,ok
practical_55453128_chem_h2_grid21_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001285290054511279,10.062040216987953,78286.14390713512,-1.85727503020238,-1.8539259190122395,0.0033491111901404746,1944,486,972,486,55453128,10.07191908499226,17,72,4,3,synthetic,"0,1,2",,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453128_chem_h2_grid21_seed17.json,ok
practical_55453128_qaoa_chordal_4n_grid11_seed23.json,optimization,optimization_qaoa,approximation_ratio,3.243202809244394e-05,7.956726808013627,245335.46854775315,4,3.229815686445298,0.19254607838867555,1573,1210,484,121,55453128,7.966140898002777,23,72,4,3,synthetic,"0,1,2",,1,21,1,,4,chordal,11,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453128_qaoa_chordal_4n_grid11_seed23.json,ok
practical_55453128_qaoa_chordal_4n_grid7_seed17.json,optimization,optimization_qaoa,approximation_ratio,3.339399700053036e-05,6.414668369980063,192090.46374047964,4,3.2070111141556907,0.19824722146107732,637,490,196,49,55453128,6.425029981008265,17,72,4,3,synthetic,"0,1,2",,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453128_qaoa_chordal_4n_grid7_seed17.json,ok
practical_55453128_qaoa_chordal_4n_grid9_seed23.json,optimization,optimization_qaoa,approximation_ratio,3.347499296069145e-05,8.066972808999708,240985.04870404245,4,3.1457154773853633,0.21357113065365918,1053,810,324,81,55453128,8.097905480011832,23,72,4,3,synthetic,"0,1,2",,1,21,1,,4,chordal,9,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453128_qaoa_chordal_4n_grid9_seed23.json,ok
practical_55453128_qaoa_chordal_5n_grid11_seed17.json,optimization,optimization_qaoa,approximation_ratio,8.572600199840963e-05,6.375329571979819,74368.67955300298,6,4.589396242968677,0.2351006261718872,2057,1694,605,121,55453128,6.384710490005091,17,72,4,3,synthetic,"0,1,2",,1,21,1,,5,chordal,11,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453128_qaoa_chordal_5n_grid11_seed17.json,ok
practical_55453128_qaoa_chordal_5n_grid7_seed23.json,optimization,optimization_qaoa,approximation_ratio,6.589802796952426e-05,7.292924083012622,110669.83804713195,6,4.521153579257492,0.2464744034570847,833,686,245,49,55453128,7.301726809004322,23,72,4,3,synthetic,"0,1,2",,1,21,1,,5,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453128_qaoa_chordal_5n_grid7_seed23.json,ok
practical_55453128_qaoa_chordal_5n_grid9_seed23.json,optimization,optimization_qaoa,approximation_ratio,6.48059940431267e-05,7.500871873984579,115743.48923639601,6,4.469198918953913,0.2551335135076811,1377,1134,405,81,55453128,7.510065566981211,23,72,4,3,synthetic,"0,1,2",,1,21,1,,5,chordal,9,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453128_qaoa_chordal_5n_grid9_seed23.json,ok
practical_55453128_qaoa_ladder_4n_grid11_seed23.json,optimization,optimization_qaoa,approximation_ratio,3.130000550299883e-05,7.70184193199384,246065.19418202442,4,2.9045084971874733,0.2738728757031317,1452,968,484,121,55453128,7.711209161992883,23,72,4,3,synthetic,"0,1,2",,1,21,1,,4,ladder,11,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453128_qaoa_ladder_4n_grid11_seed23.json,ok
practical_55453128_qaoa_ladder_4n_grid7_seed17.json,optimization,optimization_qaoa,approximation_ratio,3.214200842194259e-05,6.014183088991558,187112.8589738598,4,2.749999999999999,0.3125000000000002,588,392,196,49,55453128,6.0230150900024455,17,72,4,3,synthetic,"0,1,2",,1,21,1,,4,ladder,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453128_qaoa_ladder_4n_grid7_seed17.json,ok
practical_55453128_qaoa_ladder_4n_grid9_seed17.json,optimization,optimization_qaoa,approximation_ratio,3.0548981158062816e-05,6.126437108992832,200544.7277372089,4,2.9999999999999982,0.25000000000000044,972,648,324,81,55453128,6.1612130790017545,17,72,4,3,synthetic,"0,1,2",,1,21,1,,4,ladder,9,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453128_qaoa_ladder_4n_grid9_seed17.json,ok
practical_55453128_qaoa_ladder_5n_grid11_seed23.json,optimization,optimization_qaoa,approximation_ratio,5.888400482945144e-05,7.473366682010237,126916.75275239356,5,3.5925466511522917,0.2814906697695416,1815,1210,605,121,55453128,7.482681558991317,23,72,4,3,synthetic,"0,1,2",,1,21,1,,5,ladder,11,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453128_qaoa_ladder_5n_grid11_seed23.json,ok
practical_55453128_qaoa_ladder_5n_grid7_seed17.json,optimization,optimization_qaoa,approximation_ratio,5.557801341637969e-05,6.754734501009807,121536.09108703917,5,3.414322820287427,0.3171354359425146,735,490,245,49,55453128,6.763703620992601,17,72,4,3,synthetic,"0,1,2",,1,21,1,,5,ladder,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55453128_qaoa_ladder_5n_grid7_seed17.json,ok
